1671680667.199406 server started (5643): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1671680667.199417 on Linux 5.15.79.1-microsoft-standard-WSL2 #1 SMP Wed Nov 23 01:01:46 UTC 2022
1671680667.199421 using libevent 2.1.12-stable (poll); ncurses 6.3
1671680667.199450 input_key_build: 0x10e003 (PasteStart) is \033[200~
1671680667.199452 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1671680667.199454 input_key_build: 0x10e099 (F1) is \033OP
1671680667.199456 input_key_build: 0x10e09a (F2) is \033OQ
1671680667.199459 input_key_build: 0x10e09b (F3) is \033OR
1671680667.199460 input_key_build: 0x10e09c (F4) is \033OS
1671680667.199462 input_key_build: 0x10e09d (F5) is \033[15~
1671680667.199464 input_key_build: 0x10e09e (F6) is \033[17~
1671680667.199465 input_key_build: 0x10e09f (F7) is \033[18~
1671680667.199467 input_key_build: 0x10e0a0 (F8) is \033[19~
1671680667.199469 input_key_build: 0x10e0a1 (F9) is \033[20~
1671680667.199471 input_key_build: 0x10e0a2 (F10) is \033[21~
1671680667.199472 input_key_build: 0x10e0a3 (F11) is \033[23~
1671680667.199474 input_key_build: 0x10e0a4 (F12) is \033[24~
1671680667.199475 input_key_build: 0x10e0a5 (IC) is \033[2~
1671680667.199477 input_key_build: 0x10e0a6 (DC) is \033[3~
1671680667.199479 input_key_build: 0x10e0a7 (Home) is \033[1~
1671680667.199481 input_key_build: 0x10e0a8 (End) is \033[4~
1671680667.199483 input_key_build: 0x10e0a9 (NPage) is \033[6~
1671680667.199485 input_key_build: 0x10e0aa (PPage) is \033[5~
1671680667.199487 input_key_build: 0x10e0ab (BTab) is \033[Z
1671680667.199489 input_key_build: 0x10e0ac (Up) is \033[A
1671680667.199491 input_key_build: 0x10e0ad (Down) is \033[B
1671680667.199493 input_key_build: 0x10e0ae (Left) is \033[D
1671680667.199494 input_key_build: 0x10e0af (Right) is \033[C
1671680667.199496 input_key_build: 0x10e0b0 (KP/) is /
1671680667.199498 input_key_build: 0x10e0b1 (KP*) is *
1671680667.199499 input_key_build: 0x10e0b2 (KP-) is -
1671680667.199501 input_key_build: 0x10e0b3 (KP7) is 7
1671680667.199503 input_key_build: 0x10e0b4 (KP8) is 8
1671680667.199504 input_key_build: 0x10e0b5 (KP9) is 9
1671680667.199506 input_key_build: 0x10e0b6 (KP+) is +
1671680667.199508 input_key_build: 0x10e0b7 (KP4) is 4
